"issue_id","issue_type","parent_id","epic_id","title","description","sp","priority","sprint","wave","dependencies","status"
"US-1302","Story","E13","E13","Como admin, quero segmentar por categoria, status, UF e lotacao","","","P2","Sprint 4","Onda 1","E00, E10","Backlog"
"US-1303","Story","E13","E13","Como admin, quero arquivar e consultar historico","","","P2","Sprint 4","Onda 1","E00, E10","Backlog"
"TSK-1301","Task","E13","E13","Evoluir `api/v1/posts.php` para filtros de audiencia","","","P2","Sprint 4","Onda 1","E00, E10","Backlog"
"TSK-1302","Task","E13","E13","Ajustar `frontend/admin/comunicados.php` com construtor de filtros","","","P2","Sprint 4","Onda 1","E00, E10","Backlog"
"TSK-1303","Task","E13","E13","Exibir metrica interna de audiencia estimada","","","P2","Sprint 4","Onda 1","E00, E10","Backlog"
"TSK-1304","Task","E13","E13","Ajustar leitura no painel do associado","","","P2","Sprint 4","Onda 1","E00, E10","Backlog"
"E20","Epic","","E20","Campanhas internas","modulo de campanhas operando em modo interno.","8","P3","Sprint 6","Onda 2","E13","Backlog"
"US-2001","Story","E20","E20","Como admin, quero criar campanhas sem disparo externo","","","P3","Sprint 6","Onda 2","E13","Backlog"
"US-2002","Story","E20","E20","Como admin, quero salvar audiencia e agendamento interno","","","P3","Sprint 6","Onda 2","E13","Backlog"
"TSK-2001","Task","E20","E20","Evoluir `api/v1/campaigns.php` para modelo interno","","","P3","Sprint 6","Onda 2","E13","Backlog"
"TSK-2002","Task","E20","E20","Ajustar `frontend/admin/campanhas.php`","","","P3","Sprint 6","Onda 2","E13","Backlog"
"TSK-2003","Task","E20","E20","Criar status de execucao interna e log basico","","","P3","Sprint 6","Onda 2","E13","Backlog"
"E21","Epic","","E21","Auditoria por modulo","rastreabilidade operacional minima.","8","P2","Sprint 5","Onda 2","E00","Backlog"
"US-2101","Story","E21","E21","Como gestor, quero ver quem alterou registros sensiveis","","","P2","Sprint 5","Onda 2","E00","Backlog"
"US-2102","Story","E21","E21","Como gestor, quero filtrar auditoria por modulo e periodo","","","P2","Sprint 5","Onda 2","E00","Backlog"
"TSK-2101","Task","E21","E21","Criar tabela `audit_logs` (ou adequar existente)","","","P2","Sprint 5","Onda 2","E00","Backlog"
"TSK-2102","Task","E21","E21","Registrar eventos de create/update/delete/status","","","P2","Sprint 5","Onda 2","E00","Backlog"
"TSK-2103","Task","E21","E21","Criar API `api/v1/audit.php` (listagem com filtro)","","","P2","Sprint 5","Onda 2","E00","Backlog"
"TSK-2104","Task","E21","E21","Criar tela admin de auditoria","","","P2","Sprint 5","Onda 2","E00","Backlog"
"E22","Epic","","E22","Filtros avancados e acoes em lote","ganho de produtividade operacional.","8","P3","Sprint 6","Onda 2","E10, E11, E13","Backlog"
"US-2201","Story","E22","E22","Como admin, quero aplicar filtros compostos salvos","","","P3","Sprint 6","Onda 2","E10, E11, E13","Backlog"
"US-2202","Story","E22","E22","Como admin, quero executar acoes em lote com confirmacao","","","P3","Sprint 6","Onda 2","E10, E11, E13","Backlog"
"TSK-2201","Task","E22","E22","Implementar serializacao de filtros por modulo","","","P3","Sprint 6","Onda 2","E10, E11, E13","Backlog"
"TSK-2202","Task","E22","E22","Implementar selecao multipla em tabelas","","","P3","Sprint 6","Onda 2","E10, E11, E13","Backlog"
"TSK-2203","Task","E22","E22","Implementar acoes em lote (ativar/inativar/arquivar)","","","P3","Sprint 6","Onda 2","E10, E11, E13","Backlog"
"E23","Epic","","E23","Importacao CSV de associados","onboarding em massa de associados.","13","P3","Sprint 6-7","Onda 2","E10","Backlog"
"US-2301","Story","E23","E23","Como admin, quero importar associados via CSV","","","P3","Sprint 6-7","Onda 2","E10","Backlog"
"US-2302","Story","E23","E23","Como admin, quero preview de erros antes de confirmar","","","P3","Sprint 6-7","Onda 2","E10","Backlog"
"US-2303","Story","E23","E23","Como admin, quero relatorio final de importacao","","","P3","Sprint 6-7","Onda 2","E10","Backlog"
"TSK-2301","Task","E23","E23","Criar parser CSV com validacao de colunas","","","P3","Sprint 6-7","Onda 2","E10","Backlog"
"TSK-2302","Task","E23","E23","Criar modo dry-run para preview","","","P3","Sprint 6-7","Onda 2","E10","Backlog"
"TSK-2303","Task","E23","E23","Criar commit transacional por lote","","","P3","Sprint 6-7","Onda 2","E10","Backlog"
"TSK-2304","Task","E23","E23","Criar UI de upload + feedback detalhado","","","P3","Sprint 6-7","Onda 2","E10","Backlog"
"E30","Epic","","E30","Relatorios consolidados","visao gerencial consolidada.","8","P3","Sprint 7","Onda 3","E10, E12, E13, E21","Backlog"
"US-3001","Story","E30","E30","Como gestor, quero KPI de associados, eventos e comunicados","","","P3","Sprint 7","Onda 3","E10, E12, E13, E21","Backlog"
"US-3002","Story","E30","E30","Como gestor, quero exportar relatorios por periodo","","","P3","Sprint 7","Onda 3","E10, E12, E13, E21","Backlog"
"TSK-3001","Task","E30","E30","Evoluir `api/v1/dashboard.php` com filtros de periodo","","","P3","Sprint 7","Onda 3","E10, E12, E13, E21","Backlog"
"TSK-3002","Task","E30","E30","Criar endpoints de exportacao por modulo","","","P3","Sprint 7","Onda 3","E10, E12, E13, E21","Backlog"
"TSK-3003","Task","E30","E30","Ajustar `frontend/dashboard/admin.php` com blocos de KPI","","","P3","Sprint 7","Onda 3","E10, E12, E13, E21","Backlog"
"E31","Epic","","E31","RBAC fino","governanca de acesso refinada.","8","P2","Sprint 5","Onda 3","E21","Backlog"
"US-3101","Story","E31","E31","Como admin master, quero permissao por acao (view/create/edit/delete/export)","","","P2","Sprint 5","Onda 3","E21","Backlog"
"US-3102","Story","E31","E31","Como admin master, quero limitar modulos sensiveis por perfil","","","P2","Sprint 5","Onda 3","E21","Backlog"
"TSK-3101","Task","E31","E31","Evoluir `api/v1/permissions.php` para permissoes por acao","","","P2","Sprint 5","Onda 3","E21","Backlog"
"TSK-3102","Task","E31","E31","Ajustar verificacoes em `includes/rbac.php`","","","P2","Sprint 5","Onda 3","E21","Backlog"
"TSK-3103","Task","E31","E31","Aplicar bloqueios de botao/acao na UI","","","P2","Sprint 5","Onda 3","E21","Backlog"
"E32","Epic","","E32","Hardening de seguranca","baseline de seguranca para crescimento.","8","P3","Sprint 7","Onda 3","E00","Backlog"
"US-3201","Story","E32","E32","Como sistema, quero CSRF consistente em formularios sensiveis","","","P3","Sprint 7","Onda 3","E00","Backlog"
"US-3202","Story","E32","E32","Como sistema, quero politicas de sessao e rate limit reforcadas","","","P3","Sprint 7","Onda 3","E00","Backlog"
"US-3203","Story","E32","E32","Como sistema, quero trilha de erros de seguranca","","","P3","Sprint 7","Onda 3","E00","Backlog"
"TSK-3201","Task","E32","E32","Implementar token CSRF global para rotas de escrita","","","P3","Sprint 7","Onda 3","E00","Backlog"
"TSK-3202","Task","E32","E32","Revisar expiracao de sessao e renovacao segura","","","P3","Sprint 7","Onda 3","E00","Backlog"
"TSK-3203","Task","E32","E32","Revisar limites por IP/usuario em rotas criticas","","","P3","Sprint 7","Onda 3","E00","Backlog"
"TSK-3204","Task","E32","E32","Revisar mensagens de erro para nao vazar detalhes internos","","","P3","Sprint 7","Onda 3","E00","Backlog"
